symbol,quantity,date_of_purchase,purchase_price_aud,date_of_sale,sale_price_aud,capital_gain_loss_aud,notes
DRIV,53.0,2023-10-20,1825.25,2024-11-16,1877.88,52.63,FIFO closed lot from IBKR trades section
DRIV,0.7451,2023-10-20,25.6,2024-11-16,26.62,1.02,FIFO closed lot from IBKR trades section
GOOG,3.0,2023-10-20,659.72,2025-04-09,733.09,73.37,FIFO closed lot from IBKR trades section
GOOG,1.0,2023-10-20,219.92,2025-04-09,244.94,25.02,FIFO closed lot from IBKR trades section
GOOG,0.4042,2023-10-20,88.89,2025-06-16,108.34,19.45,FIFO closed lot from IBKR trades section
GOOG,4.0,2023-10-20,879.15,2025-06-16,1087.68,208.53,FIFO closed lot from IBKR trades section
IDNA,58.0,2023-11-06,1758.89,2024-08-14,2112.44,353.55,FIFO closed lot from IBKR trades section
IDNA,2.0,2023-11-06,60.58,2024-08-14,72.9,12.32,FIFO closed lot from IBKR trades section
IDNA,0.785,2023-11-06,23.84,2024-08-14,28.49,4.65,FIFO closed lot from IBKR trades section
QQQM,6.0,2023-11-06,1398.02,2025-04-09,1716.94,318.92,FIFO closed lot from IBKR trades section
QQQM,7.0,2023-11-06,1631.03,2025-05-27,2293.89,662.86,FIFO closed lot from IBKR trades section
QQQM,5.0,2023-11-06,1165.02,2025-06-16,1678.87,513.85,FIFO closed lot from IBKR trades section
QQQM,0.4452,2023-11-06,103.92,2025-06-16,148.25,44.33,FIFO closed lot from IBKR trades section
QQQM,0.0244,2024-03-25,6.89,2025-06-16,8.12,1.23,FIFO closed lot from IBKR trades section
QQQM,0.0217,2025-03-31,6.54,2025-06-16,7.23,0.69,FIFO closed lot from IBKR trades section
VOO,0.7,2023-10-20,434.4,2024-07-22,532.15,97.75,FIFO closed lot from IBKR trades section
VOO,1.0,2023-10-19,628.22,2024-07-22,762.72,134.5,FIFO closed lot from IBKR trades section
VOO,0.4724,2023-10-19,298.27,2024-07-22,360.3,62.03,FIFO closed lot from IBKR trades section
VOO,0.5276,2023-10-20,327.69,2024-07-22,402.4,74.71,FIFO closed lot from IBKR trades section
VOO,0.2649,2023-10-20,164.09,2025-04-23,200.25,36.16,FIFO closed lot from IBKR trades section
VOO,2.7351,2023-10-24,1666.03,2025-04-23,2067.58,401.55,FIFO closed lot from IBKR trades section
VT,2.0,2023-10-23,286.66,2025-01-03,377.98,91.32,FIFO closed lot from IBKR trades section
VT,2.0,2023-10-23,286.66,2025-01-03,379.58,92.92,FIFO closed lot from IBKR trades section
VT,1.0,2023-10-23,143.34,2025-01-03,189.8,46.46,FIFO closed lot from IBKR trades section
VT,1.0,2023-10-23,143.34,2025-01-03,189.8,46.46,FIFO closed lot from IBKR trades section
VT,2.0,2023-10-25,284.07,2025-01-03,379.6,95.53,FIFO closed lot from IBKR trades section
VT,7.0,2023-10-23,1003.33,2025-01-03,1326.85,323.52,FIFO closed lot from IBKR trades section
VT,10.0,2023-10-25,1420.34,2025-02-11,1943.04,522.7,FIFO closed lot from IBKR trades section
